Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Broadway,14 St-Union Sq,L,N,Q,R,4,5,6,,,,,TRUE,Lex not ADA,TRUE,Stair,YES,,NONE,Broadway,14th St,SW,40.735639,-73.990514
BMT,Broadway,23 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,NO,YES,NONE,Broadway,22nd St,NW,40.741277999999994,-73.989267
BMT,Broadway,28 St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,28th St,NW,40.7452885,-73.988741
BMT,Broadway,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Stair,YES,,NONE,Broadway,32nd St,NW,40.7490925,-73.98789149999999
BMT,Broadway,49 St,N,Q,R,,,,,,,,,TRUE,Northbound Only,FALSE,Easement,YES,,NONE,Broadway,47th St,NE,40.759825500000005,-73.984136
BMT,Broadway,57 St-7 Av,N,Q,R,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,7th Ave,55th St,SW,40.7649265,-73.98052100000001
BMT,Broadway,5th Av/59 St,N,Q,R,,,,,,,,,FALSE,,TRUE,Easement,YES,,NONE,Grand Army Plaza,Central Park South,SW,40.7648775,-73.9732285
BMT,Broadway,8 St-NYU,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,Waverly Pl,NW,40.7302255,-73.992739
BMT,Broadway,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,FULL,Lafayette St,Canal St,SE,40.7189075,-74.001187
BMT,Broadway,City Hall,R,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Broadway,Warren St,SE,40.7133155,-74.006871
BMT,Broadway,Cortlandt St,R,,,,,,,,,,,FALSE,,TRUE,Easement,YES,,NONE,Church St,Cortlandt St,SE,40.710633,-74.010921
BMT,Broadway,Court St,R,2,3,4,5,,,,,,,FALSE,R not ADA,TRUE,Stair,YES,,NONE,Clinton St,Montague St,NW,40.6943535,-73.99272450000001
BMT,Broadway,Jay St-MetroTech,A,C,F,R,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Lawrence St,Willoughby St,NE,40.692169500000006,-73.9856815
BMT,Broadway,Lexington Av/59 St,N,Q,R,4,5,6,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Lexington Ave,60th St,NW,40.762491,-73.966884
BMT,Broadway,Prince St,N,R,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Broadway,Prince St,SW,40.724234,-73.997795
BMT,Broadway,Rector St,R,,,,,,,,,,,FALSE,,FALSE,Stair,NO,YES,NONE,Trinity Pl,Exchange Alley,NW,40.707214,-74.01334800000001
